parsec3,2.94E+79,3.47E+01,2.94E+103,2.94E+54,2.94E+55,5.96E+54,4.96E+54,1.99E+54,1.65E+54,2.94E+46,2.94E+53,2.94E+52,2.94E-05,2.94E+84,7.76E+51,6.46E+51,2.94E+22,2.94E+43,3.84E+49,2.94E+52,2.94E+31,2.94E+49,2.94E+67,4.63E+39,7.05E+39,2.94E+55,2.94E+58,2.94E+76,9.93E+53,1.03E+54,1.00E+00,1.04E+51,2.94E+04,2.94E+85,1.79E+54,6.21E+52,5.17E+52,2.59E+52,3.10E+52,2.94E+40,2.94E+13,8.78E+15,1.24E+53,1.03E+53,2.94E+121,2.94E-23,2.94E+112,2.94E-14
pé3,2.83E+28,3.34E-50,2.83E+52,2.83E+03,2.83E+04,5.74E+03,4.78E+03,1.92E+03,1.59E+03,2.83E-05,2.83E+02,2.83E+01,2.83E-56,2.83E+33,7.48E+00,6.23E+00,2.83E-29,2.83E-08,3.70E-02,2.83E+01,2.83E-20,2.83E-02,2.83E+16,4.46E-12,6.79E-12,2.83E+04,2.83E+07,2.83E+25,9.58E+02,9.97E+02,9.64E-52,1.00E+00,2.83E-47,2.83E+34,1.73E+03,5.98E+01,4.98E+01,2.49E+01,2.99E+01,2.83E-11,2.83E-38,8.46E-36,1.20E+02,9.97E+01,2.83E+70,2.83E-74,2.83E+61,2.83E-65
petâmetro3,1.00E+75,1.18E-03,1.00E+99,1.00E+50,1.00E+51,2.03E+50,1.69E+50,6.76E+49,5.63E+49,1.00E+42,1.00E+49,1.00E+48,1.00E-09,1.00E+80,2.64E+47,2.20E+47,1.00E+18,1.00E+39,1.31E+45,1.00E+48,1.00E+27,1.00E+45,1.00E+63,1.57E+35,2.40E+35,1.00E+51,1.00E+54,1.00E+72,3.38E+49,3.52E+49,3.40E-05,3.53E+46,1.00E+00,1.00E+81,6.10E+49,2.11E+48,1.76E+48,8.80E+47,1.06E+48,1.00E+36,1.00E+09,2.99E+11,4.23E+48,3.52E+48,1.00E+117,1.00E-27,1.00E+108,1.00E-18
picômetro3,1.00E-06,1.18E-84,1.00E+18,1.00E-31,1.00E-30,2.03E-31,1.69E-31,6.76E-32,5.63E-32,1.00E-39,1.00E-32,1.00E-33,1.00E-90,1.00E-01,2.64E-34,2.20E-34,1.00E-63,1.00E-42,1.31E-36,1.00E-33,1.00E-54,1.00E-36,1.00E-18,1.57E-46,2.40E-46,1.00E-30,1.00E-27,1.00E-09,3.38E-32,3.52E-32,3.40E-86,3.53E-35,1.00E-81,1.00E+00,6.10E-32,2.11E-33,1.76E-33,8.80E-34,1.06E-33,1.00E-45,1.00E-72,2.99E-70,4.23E-33,3.52E-33,1.00E+36,1.00E-108,1.00E+27,1.00E-99
polegadas3,1.64E+25,1.94E-53,1.64E+49,1.64E+00,1.64E+01,3.32E+00,2.77E+00,1.11E+00,9.23E-01,1.64E-08,1.64E-01,1.64E-02,1.64E-59,1.64E+30,4.33E-03,3.60E-03,1.64E-32,1.64E-11,2.14E-05,1.64E-02,1.64E-23,1.64E-05,1.64E+13,2.58E-15,3.93E-15,1.64E+01,1.64E+04,1.64E+22,5.54E-01,5.77E-01,5.58E-55,5.79E-04,1.64E-50,1.64E+31,1.00E+00,3.46E-02,2.88E-02,1.44E-02,1.73E-02,1.64E-14,1.64E-41,4.89E-39,6.93E-02,5.77E-02,1.64E+67,1.64E-77,1.64E+58,1.64E-68
quartilho americano,4.73E+26,5.59E-52,4.73E+50,4.73E+01,4.73E+02,9.60E+01,7.99E+01,3.20E+01,2.66E+01,4.73E-07,4.73E+00,4.73E-01,4.73E-58,4.73E+31,1.25E-01,1.04E-01,4.73E-31,4.73E-10,6.19E-04,4.73E-01,4.73E-22,4.73E-04,4.73E+14,7.45E-14,1.14E-13,4.73E+02,4.73E+05,4.73E+23,1.60E+01,1.67E+01,1.61E-53,1.67E-02,4.73E-49,4.73E+32,2.89E+01,1.00E+00,8.33E-01,4.16E-01,5.00E-01,4.73E-13,4.73E-40,1.41E-37,2.00E+00,1.67E+00,4.73E+68,4.73E-76,4.73E+59,4.73E-67
quartilho imperial,5.68E+26,6.71E-52,5.68E+50,5.68E+01,5.68E+02,1.15E+02,9.60E+01,3.84E+01,3.20E+01,5.68E-07,5.68E+00,5.68E-01,5.68E-58,5.68E+31,1.50E-01,1.25E-01,5.68E-31,5.68E-10,7.43E-04,5.68E-01,5.68E-22,5.68E-04,5.68E+14,8.95E-14,1.36E-13,5.68E+02,5.68E+05,5.68E+23,1.92E+01,2.00E+01,1.93E-53,2.01E-02,5.68E-49,5.68E+32,3.47E+01,1.20E+00,1.00E+00,5.00E-01,6.00E-01,5.68E-13,5.68E-40,1.70E-37,2.40E+00,2.00E+00,5.68E+68,5.68E-76,5.68E+59,5.68E-67
quarto imperial,1.14E+27,1.34E-51,1.14E+51,1.14E+02,1.14E+03,2.31E+02,1.92E+02,7.69E+01,6.40E+01,1.14E-06,1.14E+01,1.14E+00,1.14E-57,1.14E+32,3.00E-01,2.50E-01,1.14E-30,1.14E-09,1.49E-03,1.14E+00,1.14E-21,1.14E-03,1.14E+15,1.79E-13,2.73E-13,1.14E+03,1.14E+06,1.14E+24,3.84E+01,4.00E+01,3.87E-53,4.01E-02,1.14E-48,1.14E+33,6.94E+01,2.40E+00,2.00E+00,1.00E+00,1.20E+00,1.14E-12,1.14E-39,3.39E-37,4.80E+00,4.00E+00,1.14E+69,1.14E-75,1.14E+60,1.14E-66
quarto líquido americano,9.46E+26,1.12E-51,9.46E+50,9.46E+01,9.46E+02,1.92E+02,1.60E+02,6.40E+01,5.33E+01,9.46E-07,9.46E+00,9.46E-01,9.46E-58,9.46E+31,2.50E-01,2.08E-01,9.46E-31,9.46E-10,1.24E-03,9.46E-01,9.46E-22,9.46E-04,9.46E+14,1.49E-13,2.27E-13,9.46E+02,9.46E+05,9.46E+23,3.20E+01,3.33E+01,3.22E-53,3.34E-02,9.46E-49,9.46E+32,5.77E+01,2.00E+00,1.67E+00,8.33E-01,1.00E+00,9.46E-13,9.46E-40,2.83E-37,4.00E+00,3.33E+00,9.46E+68,9.46E-76,9.46E+59,9.46E-67
quilômetro3,1.00E+39,1.18E-39,1.00E+63,1.00E+14,1.00E+15,2.03E+14,1.69E+14,6.76E+13,5.63E+13,1.00E+06,1.00E+13,1.00E+12,1.00E-45,1.00E+44,2.64E+11,2.20E+11,1.00E-18,1.00E+03,1.31E+09,1.00E+12,1.00E-09,1.00E+09,1.00E+27,1.57E-01,2.40E-01,1.00E+15,1.00E+18,1.00E+36,3.38E+13,3.52E+13,3.40E-41,3.53E+10,1.00E-36,1.00E+45,6.10E+13,2.11E+12,1.76E+12,8.80E+11,1.06E+12,1.00E+00,1.00E-27,2.99E-25,4.23E+12,3.52E+12,1.00E+81,1.00E-63,1.00E+72,1.00E-54
